Energy,Cluster Size,Trimers,Tetramers,Pentamers,Hexamers,Avg Shortest Path Length,Wiener Index,rmsd,Graph Similarity,Projected Similarity
-15.9416428,3.0,1,0,0,0,1.0,3.0,0.0,0.0,0.0
-27.6242619,4.0,0,1,0,0,1.3333333333333333,8.0,0.0,0.0,0.0
-36.8050499,5.0,0,0,1,0,1.5,15.0,0.0,0.0,0.0
-36.8034706,5.0,0,0,1,0,1.5,15.0,1.998366,0.0,0.0
-36.8031731,5.0,0,0,1,0,1.5,15.0,1.846359,1e-06,0.0
-46.5315552,6.0,0,5,0,0,1.5333333333333334,23.0,0.0,0.0,0.0
-46.5096512,6.0,0,5,0,0,1.5333333333333334,23.0,1.737022,8.4e-05,0.0
-46.1083717,6.0,1,2,1,0,1.4666666666666666,22.0,2.585366,0.228841,3.33705
-46.0908012,6.0,0,2,0,0,1.6666666666666667,25.0,2.728578,3.868659,1.507577
-46.0658035,6.0,0,2,0,0,1.6666666666666667,25.0,2.698724,3.87035,1.507577
-46.0059509,6.0,0,2,0,0,1.6666666666666667,25.0,2.496828,3.857482,1.507577
-45.9915009,6.0,1,2,1,0,1.4666666666666666,22.0,2.586172,0.22521,3.33705
-45.9105644,6.0,2,3,0,0,1.4,21.0,2.49684,3.696155,4.630683
-45.7945213,6.0,0,1,2,0,1.5333333333333334,23.0,2.283882,3.712118,3.717143
-45.7182083,6.0,0,1,2,0,1.5333333333333334,23.0,2.455321,3.730635,3.717143
-45.6464653,6.0,1,2,1,0,1.4666666666666666,22.0,2.443674,0.247359,3.33705
-45.6437302,6.0,0,5,0,0,1.5333333333333334,23.0,1.877602,0.198679,0.0
-45.5965805,6.0,1,2,1,0,1.4666666666666666,22.0,1.588123,0.262282,3.33705
-45.575676,6.0,1,2,1,0,1.4666666666666666,22.0,2.374505,0.293722,3.33705
-45.5610428,6.0,0,1,2,0,1.5333333333333334,23.0,2.606798,3.349774,3.717143
-45.5437164,6.0,0,1,2,0,1.5333333333333334,23.0,2.751472,3.519603,3.717143
-46.5315552,6.0,0,5,0,0,1.5333333333333334,23.0,0.0,0.0,0.0
-46.5096512,6.0,0,5,0,0,1.5333333333333334,23.0,1.737022,8.4e-05,0.0
-46.1083717,6.0,1,2,1,0,1.4666666666666666,22.0,2.585366,0.228841,3.33705
-46.0908012,6.0,0,2,0,0,1.6666666666666667,25.0,2.728578,3.868659,1.507577
-46.0658035,6.0,0,2,0,0,1.6666666666666667,25.0,2.698724,3.87035,1.507577
-46.0059509,6.0,0,2,0,0,1.6666666666666667,25.0,2.496828,3.857482,1.507577
-45.9915009,6.0,1,2,1,0,1.4666666666666666,22.0,2.586172,0.22521,3.33705
-45.9105644,6.0,2,3,0,0,1.4,21.0,2.49684,3.696155,4.630683
-45.7945213,6.0,0,1,2,0,1.5333333333333334,23.0,2.283882,3.712118,3.717143
-45.7182083,6.0,0,1,2,0,1.5333333333333334,23.0,2.455321,3.730635,3.717143
-45.6464653,6.0,1,2,1,0,1.4666666666666666,22.0,2.443674,0.247359,3.33705
-45.6437302,6.0,0,5,0,0,1.5333333333333334,23.0,1.877602,0.198679,0.0
-45.5965805,6.0,1,2,1,0,1.4666666666666666,22.0,1.588123,0.262282,3.33705
-45.575676,6.0,1,2,1,0,1.4666666666666666,22.0,2.374505,0.293722,3.33705
